precinct,DEM,REP,OTH
002,3045,2007,172
003,3562,2937,265
004,148,124,2
005,1286,1209,100
006,2374,2442,149
007_010,838,673,63
031,1458,1047,96
032,2255,1638,142
033,355,204,30
040,154,126,7
051,56,23,4
052,496,201,19
053,4935,1785,257
055,3929,1816,183
070_071,126,22,11
072,68,30,8
073,118,80,5
074,26,27,4
099_100,209,217,4
101,4062,3044,190
102,406,309,21
103_104,2001,1591,95
105,619,470,44
106,862,1399,115
107,665,1016,71
108,1962,2598,224
111,1557,3193,165
122,2469,2813,179
124,1485,1777,115
125,639,646,50
127,29,37,0
131,3971,2068,177
132,2938,1495,129
133,1295,556,77
134,39,34,4
135,3526,1524,168
151,1862,663,78
153,5198,1874,172
154,713,279,11
155,439,136,23
156,4330,1667,150
157,228,92,7
159,5202,1814,192
160,309,160,9
201,2656,1465,134
202,2909,1746,211
203,1210,1079,21
204,1566,1012,101
251_252,1282,674,70
280,983,405,41
281,852,370,31
282,349,144,16
283,304,138,15
284,204,83,13
320,283,143,20
321,1351,1160,72
322,565,608,37
323,790,790,55
330,922,1726,84
331,337,423,11
332,213,284,18
333,599,819,46
350,523,1344,70
351,901,2340,76
352,804,1947,78
359,0,0,0
360,1001,1709,94
361_362,556,976,45
363,239,462,19
364,322,511,27
370,1156,1832,82
371,340,432,18
372,168,314,12
373,2027,1647,174
400,608,786,37
401,580,879,32
402,552,951,37
403,490,671,35
404,1460,2467,120
405,595,1210,43
406,190,205,6
410,1053,672,53
411,1699,1387,79
412,1053,1079,66
413,1219,909,105
414,137,218,16
415,50,76,2
416,2389,1691,115
417_418,1398,1044,35
419,197,123,6
420,774,371,47
421,1679,1106,96
422,4008,2066,219
500,183,122,14
501,2904,1084,119
502,4267,2124,242
503,1649,1066,99
504,3112,1944,195
505,84,54,4
506,1238,988,64
510,440,506,38
511,958,1548,87
512,730,740,52
513,952,1114,71
514,2640,3725,189
515,511,459,31
516,360,579,18
517,648,1196,32
518,267,422,27
519,313,481,18